N,Gaiola,Machos,Femeas,Crias,Total,Utilizacao,Observacao,,
1,G-1,0,16,0,16,Engorda,Nenhuma,,
2,G-2,7,0,0,7,Engorda,Nenhuma,,
3,G-3,0,14,0,14,Engorda,Nenhuma,,
4,G-4,3,0,0,3,Engorda,Nenhuma,,
5,G-5,0,8,0,8,Engorda,Nenhuma,,
6,G-6,0,3,0,3,Engorda,Nenhuma,,
7,G-7,9,0,0,9,Engorda,Nenhuma,,
8,G-8,3,0,0,3,Engorda,Nenhuma,,
9,G-9,2,0,0,2,Engorda,Nenhuma,,
10,G-10,0,1,7,8,Amamentacao,Nenhuma,,
11,G-11,0,3,5,8,Amamentacao,Nenhuma,,
12,G-12,0,5,0,5,Engorda,Nenhuma,,
13,G-13,0,5,0,5,Engorda,Nenhuma,,
14,G-14,0,5,0,5,Engorda,Nenhuma,,
15,G-15,0,5,0,5,Engorda,Nenhuma,,
16,G-16,0,5,0,5,Engorda,Nenhuma,,
17,G-17,0,5,0,5,Engorda,Nenhuma,,
18,G-18,0,5,0,5,Engorda,Nenhuma,,
19,G-19,0,5,0,5,Engorda,Nenhuma,,
20,G-20,0,5,0,5,Engorda,Nenhuma,,
21,G-21,0,5,0,5,Engorda,Nenhuma,,
22,G-22,0,5,0,5,Engorda,Nenhuma,,
23,G-23,0,5,0,5,Engorda,Nenhuma,,
24,G-24,0,5,0,5,Engorda,Nenhuma,,
25,G-25,0,5,0,5,Engorda,Nenhuma,,
26,G-26,0,5,0,5,Engorda,Nenhuma,,
27,G-27,0,5,0,5,Engorda,Nenhuma,,
28,G-28,0,5,0,5,Engorda,Nenhuma,,
29,G-29,0,5,0,5,Engorda,Nenhuma,,
30,G-30,0,5,0,5,Engorda,Nenhuma,,
31,G-31,0,5,0,5,Engorda,Nenhuma,,
32,G-32,0,5,0,5,Engorda,Nenhuma,,
33,G-33,0,5,0,5,Engorda,Nenhuma,,
34,G-34,0,5,0,5,Engorda,Nenhuma,,
35,G-35,0,5,0,5,Engorda,Nenhuma,,
36,G-36,0,5,0,5,Engorda,Nenhuma,,
37,G-37,0,5,0,5,Engorda,Nenhuma,,
38,G-38,0,5,0,5,Engorda,Nenhuma,,
39,G-39,0,5,0,5,Engorda,Nenhuma,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
,,,,,,,,, 
