N,Gaiola,Machos,Femeas,Crias,Total,Utilizacao,Observacoes,Data
1,Gaiola-1,0,12,0,12,Engorda,Nenhuma,07_10_2021
2,Gaiola-2,0,10,0,10,Engorda,Nenhuma,07_10_2021
3,Gaiola-3,0,17,0,17,Engorda,Nenhuma,07_10_2021
4,Gaiola-4,5,0,0,5,Engorda,Nenhuma,07_10_2021
5,Gaiola-5,0,13,14,27,Amamentacao,Nenhuma,07_10_2021
6,Gaiola-6,0,9,0,9,Engorda,Nenhuma,07_10_2021
7,Gaiola-7,7,0,0,7,Engorda,Nenhuma,07_10_2021
8,Gaiola-8,5,0,0,5,Engorda,Nenhuma,07_10_2021
13,Gaiola-13,3,0,0,3,Machos velhos,Nenhuma,07_10_2021
14,Gaiola-15,2,0,0,2,Engorda,Nenhuma,07_10_2021
15,Gaiola-16,2,0,0,2,Engorda,Nenhuma,07_10_2021
