Index,Gaiola,Machos,Femeas,Crias,Total,Utilizacao,Observacoes,Data
1,Gaiola-1,0,15,0,15, Engorda,Nenhuma,15_11_2021
2,Gaiola-2,0,9,0,9, Engorda,Nenhuma,15_11_2021
3,Gaiola-3,0,19,0,19, Engorda,Nenhuma,15_11_2021
4,Gaiola-4,16,0,0,16, Engorda,Nenhuma,15_11_2021
5,Gaiola-5,0,12,5,17,Amamentancao,Nenhuma,15_11_2021
6,Gaiola-6,0,9,0,9, Engorda,Nenhuma,15_11_2021
7,Gaiola-7,5,0,0,5, Engorda,Nenhuma,15_11_2021
8,Gaiopla-14,0,7,0,7, Engorda,Nenhuma,15_11_2021
9,Gaiola-15,3,0,0,3, Engorda,Nenhuma,15_11_2021
10,Gaiola-16,0,7,0,7, Engorda,Nenhuma,15_11_2021
