Canister,Canister-Level,Caixa,Posicao do Criotubo,Isolado,Especie,Status_de_resistencia,Local_de_colheita,Provincia,Animal_de_colheita,Ano_de_criopreservacao,Agente_crioprotector,Volume/tubo,Data,Observacoes,id,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,1,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,1,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,2,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,2,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,3,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,3,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,4,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,4,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,5,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,5,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,6,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,6,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,7,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,7,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,8,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,8,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,9,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,9,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,10,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,10,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,11,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,11,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,12,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,12,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,13,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,13,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,14,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,14,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,15,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,15,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,16,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,16,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,17,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,17,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,18,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,18,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,19,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,19,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,20,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,20,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,21,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,21,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,22,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,22,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,23,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,23,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,24,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,24,,,,,,,,,,
Canister - 1, Posicao - 1 ,Caixa - 1,25,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,25,,,,,,,,,,
Canister - 1, Posicao - 2 ,Caixa - 2,1,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,26,,,,,,,,,,
Canister - 1, Posicao - 2 ,Caixa - 2,2,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,27,,,,,,,,,,
Canister - 1, Posicao - 2 ,Caixa - 2,3,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,28,,,,,,,8_12_2022,,,
Canister - 1, Posicao - 2 ,Caixa - 2,4,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,29,,,,,,,,,,
Canister - 1, Posicao - 2 ,Caixa - 2,5,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,<vazio>,30,,,,,,,,,,
